Mstar	    logAge	    logMacc	    logMaccErr
0.333000	5.360000	-8.364000	0.348000
0.808000	5.970000	-8.103000	0.339000
0.655000	7.780000	-8.545000	0.098000
1.156000	7.180000	-8.126000	0.174000
0.296000	5.790000	-8.360000	0.365000
1.956000	6.520000	-7.308000	0.094000
1.436000	6.980000	-7.978000	0.202000
0.339000	5.110000	-8.059000	0.220000
0.984000	7.140000	-8.273000	0.145000
1.269000	7.050000	-8.061000	0.209000
0.484000	6.370000	-9.144000	0.275000
0.986000	7.420000	-8.306000	0.357000
1.052000	7.040000	-8.804000	0.303000
1.414000	7.110000	-7.452000	0.503000
1.499000	6.690000	-8.408000	0.282000
0.526000	5.560000	-7.814000	0.138000
0.691000	6.090000	-8.381000	0.164000
0.494000	5.210000	-6.840000	0.154000
0.774000	7.760000	-8.934000	0.164000
0.877000	6.400000	-8.845000	0.349000
1.048000	6.820000	-8.097000	0.150000
0.597000	5.670000	-7.659000	0.317000
0.941000	6.680000	-8.770000	0.376000
0.498000	5.830000	-8.228000	0.220000
1.613000	6.930000	-7.290000	0.087000
1.814000	6.680000	-7.928000	0.270000
0.655000	6.230000	-8.484000	0.313000
0.607000	5.970000	-8.374000	0.510000
0.736000	6.400000	-9.205000	0.183000
1.050000	6.560000	-8.486000	0.228000
0.649000	6.100000	-8.667000	0.256000
0.987000	6.110000	-8.072000	0.264000
1.716000	6.680000	-7.882000	0.282000
0.213000	5.980000	-8.942000	0.314000
0.358000	5.720000	-8.502000	0.212000
0.264000	5.970000	-8.119000	0.092000
0.931000	6.790000	-9.009000	0.366000
0.609000	6.930000	-9.035000	0.138000
0.633000	5.790000	-8.099000	0.311000
0.608000	5.620000	-8.389000	0.317000
0.416000	5.820000	-8.515000	0.157000
0.959000	6.160000	-8.406000	0.301000
0.701000	6.450000	-8.593000	0.152000
0.624000	6.070000	-8.198000	0.226000
0.524000	6.340000	-8.711000	0.106000
1.259000	7.590000	-7.729000	0.422000
1.647000	6.810000	-7.864000	0.175000
0.600000	6.140000	-8.346000	0.092000
0.748000	6.040000	-8.509000	0.264000
1.467000	7.020000	-7.252000	0.198000
0.974000	7.050000	-8.397000	0.193000
0.538000	6.130000	-8.730000	0.205000
0.835000	7.260000	-8.798000	0.166000
0.696000	6.430000	-8.375000	0.167000
1.683000	6.690000	-8.186000	0.286000
1.392000	6.950000	-8.058000	0.288000
0.389000	5.890000	-8.810000	0.201000
0.159000	5.190000	-8.608000	0.302000
0.382000	5.630000	-8.521000	0.154000
0.591000	5.880000	-8.445000	0.230000
0.279000	5.830000	-8.390000	0.288000
0.408000	5.740000	-7.824000	0.200000
0.225000	5.260000	-7.991000	0.184000
0.403000	6.110000	-8.728000	0.217000
0.757000	7.580000	-8.799000	0.029000
0.535000	5.980000	-8.538000	0.168000
0.397000	5.790000	-8.167000	0.284000
0.951000	6.110000	-7.957000	0.253000
0.614000	5.780000	-8.257000	0.243000
1.733000	6.870000	-6.777000	0.172000
0.388000	5.420000	-8.126000	0.153000
1.738000	6.790000	-7.407000	0.264000
0.698000	6.220000	-8.929000	0.267000
0.670000	6.830000	-9.221000	0.276000
0.923000	5.950000	-7.981000	0.152000
1.422000	6.870000	-8.457000	0.415000
0.988000	6.400000	-8.963000	0.190000
1.567000	6.760000	-8.433000	0.189000
0.656000	5.920000	-7.888000	0.173000
0.490000	6.450000	-8.933000	0.145000
1.055000	6.600000	-8.914000	0.266000
1.271000	7.240000	-7.533000	0.289000
0.524000	5.910000	-8.396000	0.382000
